,Episode,Reward
11,11,17.0
11,11,18.0
11,11,14.0
11,11,18.0
11,11,21.0
11,11,20.0
11,11,20.0
11,11,20.0
11,11,21.0
11,11,19.0
11,11,20.0
11,11,20.0
11,11,19.0
11,11,19.0
11,11,19.0
11,11,16.0
11,11,20.0
11,11,15.0
11,11,19.0
11,11,20.0
11,11,20.0
11,11,19.0
11,11,18.0
11,11,17.0
11,11,21.0
11,11,21.0
11,11,18.0
11,11,20.0
11,11,17.0
11,11,17.0
11,11,20.0
11,11,14.0
11,11,19.0
11,11,20.0
11,11,20.0
11,11,19.0
11,11,20.0
11,11,19.0
11,11,20.0
11,11,19.0
11,11,16.0
11,11,18.0
11,11,16.0
11,11,20.0
11,11,20.0
11,11,18.0
11,11,19.0
11,11,19.0
11,11,20.0
11,11,20.0
11,11,20.0
11,11,19.0
11,11,18.0
11,11,21.0
11,11,20.0
11,11,20.0
11,11,18.0
11,11,18.0
11,11,19.0
11,11,19.0
11,11,20.0
11,11,19.0
11,11,16.0
11,11,21.0
11,11,17.0
11,11,17.0
11,11,21.0
11,11,20.0
11,11,20.0
11,11,16.0
11,11,18.0
11,11,19.0
11,11,18.0
11,11,21.0
11,11,21.0
11,11,21.0
11,11,18.0
11,11,20.0
11,11,20.0
11,11,14.0
11,11,16.0
11,11,17.0
11,11,21.0
11,11,20.0
11,11,19.0
11,11,19.0
11,11,20.0
11,11,21.0
11,11,19.0
12,12,19.0
12,12,21.0
12,12,18.0
12,12,19.0
12,12,17.0
12,12,19.0
12,12,16.0
12,12,21.0
12,12,17.0
12,12,18.0
12,12,19.0
12,12,19.0
12,12,21.0
12,12,20.0
12,12,19.0
12,12,20.0
12,12,16.0
12,12,16.0
12,12,19.0
12,12,21.0
12,12,21.0
12,12,19.0
12,12,19.0
12,12,18.0
12,12,20.0
12,12,20.0
12,12,18.0
12,12,17.0
12,12,19.0
12,12,18.0
12,12,19.0
12,12,20.0
12,12,21.0
12,12,19.0
12,12,18.0
12,12,17.0
12,12,21.0
12,12,20.0
12,12,19.0
12,12,20.0
12,12,20.0
12,12,18.0
12,12,21.0
12,12,19.0
12,12,18.0
12,12,19.0
12,12,20.0
12,12,20.0
12,12,17.0
12,12,19.0
12,12,19.0
12,12,18.0
12,12,20.0
12,12,19.0
12,12,21.0
12,12,21.0
12,12,21.0
12,12,17.0
12,12,18.0
12,12,19.0
12,12,16.0
12,12,19.0
12,12,20.0
12,12,20.0
12,12,16.0
12,12,20.0
12,12,18.0
12,12,17.0
12,12,20.0
12,12,17.0
12,12,20.0
12,12,19.0
12,12,18.0
12,12,19.0
12,12,18.0
12,12,21.0
12,12,13.0
12,12,19.0
12,12,19.0
12,12,21.0
12,12,18.0
12,12,19.0
12,12,18.0
12,12,18.0
12,12,20.0
12,12,20.0
12,12,20.0
12,12,20.0
12,12,21.0
12,12,17.0
12,12,18.0
12,12,20.0
12,12,21.0
12,12,21.0
12,12,20.0
12,12,15.0
12,12,15.0
12,12,19.0
12,12,16.0
12,12,20.0
12,12,21.0
12,12,19.0
12,12,18.0
12,12,21.0
12,12,19.0
13,13,19.0
13,13,19.0
13,13,21.0
13,13,20.0
13,13,16.0
13,13,19.0
13,13,20.0
13,13,17.0
13,13,19.0
13,13,20.0
13,13,20.0
13,13,18.0
13,13,19.0
13,13,18.0
13,13,18.0
13,13,20.0
13,13,20.0
13,13,21.0
13,13,20.0
13,13,19.0
13,13,13.0
13,13,19.0
13,13,18.0
13,13,18.0
13,13,17.0
13,13,21.0
13,13,21.0
13,13,19.0
13,13,19.0
13,13,20.0
13,13,19.0
13,13,18.0
13,13,19.0
13,13,20.0
13,13,19.0
13,13,20.0
13,13,21.0
13,13,19.0
13,13,19.0
13,13,19.0
13,13,21.0
13,13,20.0
13,13,18.0
13,13,19.0
13,13,18.0
13,13,17.0
13,13,19.0
13,13,21.0
13,13,21.0
13,13,20.0
13,13,20.0
13,13,19.0
13,13,20.0
13,13,21.0
13,13,16.0
13,13,18.0
13,13,20.0
13,13,20.0
13,13,20.0
13,13,21.0
13,13,19.0
13,13,16.0
13,13,19.0
13,13,20.0
13,13,18.0
13,13,20.0
13,13,19.0
13,13,21.0
13,13,19.0
13,13,18.0
13,13,20.0
13,13,19.0
13,13,19.0
13,13,20.0
13,13,19.0
13,13,20.0
13,13,18.0
13,13,17.0
13,13,20.0
13,13,20.0
13,13,19.0
13,13,21.0
13,13,21.0
13,13,19.0
13,13,18.0
13,13,20.0
13,13,17.0
13,13,19.0
13,13,19.0
13,13,20.0
13,13,19.0
13,13,21.0
13,13,20.0
13,13,17.0
13,13,20.0
13,13,18.0
13,13,21.0
13,13,20.0
13,13,19.0
13,13,19.0
13,13,18.0
13,13,21.0
13,13,18.0
13,13,21.0
13,13,20.0
13,13,17.0
14,14,19.0
14,14,21.0
14,14,20.0
14,14,18.0
14,14,21.0
14,14,20.0
14,14,20.0
14,14,21.0
14,14,17.0
14,14,18.0
14,14,20.0
14,14,20.0
14,14,20.0
14,14,21.0
14,14,18.0
14,14,21.0
14,14,17.0
14,14,21.0
14,14,20.0
14,14,18.0
14,14,21.0
14,14,20.0
14,14,21.0
14,14,21.0
14,14,18.0
14,14,20.0
14,14,18.0
14,14,20.0
14,14,21.0
14,14,18.0
14,14,19.0
14,14,21.0
14,14,21.0
14,14,21.0
14,14,21.0
14,14,21.0
14,14,20.0
14,14,19.0
14,14,21.0
14,14,20.0
14,14,21.0
14,14,16.0
14,14,19.0
14,14,16.0
14,14,19.0
14,14,21.0
14,14,20.0
14,14,20.0
14,14,18.0
14,14,17.0
14,14,21.0
14,14,19.0
14,14,19.0
14,14,18.0
14,14,19.0
14,14,19.0
